,Unnamed: 0,title,community,hourseType,area,direction,fitment,elevator,floorInfo,position,price,area_positon
0,0,有7平方露台 满五 通风采光好 诚心出售,金城华庭,2室1厅,53.19平米,北,其他,有电梯,低楼层(共24层)2003年建板塔结合,螺岭,430.0,罗湖区
1,1,老街地铁口花园小区 满五唯一 业主诚心出售,星桂园,2室1厅,37.48平米,东南,简装,有电梯,中楼层(共20层)2004年建板塔结合,地王,249.0,罗湖区
2,2,金城华庭 3室1厅 650万,金城华庭,3室1厅,89.25平米,南,其他,有电梯,低楼层(共24层)2003年建板塔结合,螺岭,650.0,罗湖区
3,3,名骏豪庭 标准三房 南向 中层 视野开阔景观好,名骏豪庭,3室2厅,85.26平米,南,简装,有电梯,中楼层(共18层)2003年建板塔结合,莲塘,488.0,罗湖区
4,4,敦信大厦两室47.68平 业主自住诚心挂卖 看房随时预约,敦信大厦,2室1厅,47.68平米,东,其他,有电梯,低楼层(共25层)1984年建板塔结合,罗湖口岸,193.0,罗湖区
5,5,罗湖金岸两室一厅，户型方正，双地铁物业 ，采光好,罗湖金岸大厦,2室1厅,61.42平米,西北,其他,有电梯,高楼层(共33层)2003年建板塔结合,罗湖口岸,238.0,罗湖区
6,6,合正荣悦大四房诚心出售有钥匙随时看房,合正荣悦,4室1厅,85.67平米,东北,其他,有电梯,低楼层(共31层)2014年建板塔结合,黄贝岭,980.0,罗湖区
7,7,"5,7号线  太安地铁口 高楼层  看水库全景",东乐花园,4室1厅,126.12平米,东北,简装,有电梯,高楼层(共32层)1994年建板塔结合,百仕达,428.0,罗湖区
8,8,山湖居两房，朝南，满五年唯一免个税,山湖居,2室1厅,64.08平米,南,其他,有电梯,高楼层(共10层)2003年建板塔结合,布心,340.0,罗湖区
9,9,红本在手 满两年税费少  高层朝南 户型方正,联城美园,2室1厅,63.14平米,南,精装,有电梯,中楼层(共35层)2006年建板塔结合,春风路,358.0,罗湖区
10,10,5号线7号线太安站 红本满两年税费少 看花园泳池南北通,百仕达花园二期,3室2厅,129.51平米,南 北,其他,有电梯,中楼层(共8层)2000年建板塔结合,百仕达,780.0,罗湖区
11,11,满五唯一 花园大社区 生活氛围浓厚 高层看花园,嘉宝田花园,3室2厅,83.91平米,北,精装,有电梯,高楼层(共25层)2003年建板塔结合,笋岗,520.0,罗湖区
12,12,鸿翔花园东南大三房送入户花园 地铁9号线园岭站,鸿翔花园,3室2厅,152.08平米,东南,简装,有电梯,低楼层(共31层)2005年建板塔结合,地王,1120.0,罗湖区
13,13,京基10年新盘，红本在手，少有户型，3房的使用！,京基东方颐园,3室1厅,43.25平米,西北,其他,有电梯,高楼层(共33层)2009年建板塔结合,螺岭,380.0,罗湖区
14,14,华清园三房高层朝南 满五唯一可免个税 业主诚售,华清园,3室1厅,72.71平米,南,其他,精装,高楼层(共17层)2000年建塔楼,新秀,315.0,罗湖区
15,15,源兴居，满五年，交通便利，配套齐全,源兴居,2室1厅,58.89平米,北,其他,有电梯,中楼层(共32层)2002年建板塔结合,洪湖,300.0,罗湖区
